,year,month,CRASH_COUNTS
0,2013,3,2
1,2013,6,2
2,2014,1,4
3,2014,2,2
4,2014,6,2
5,2014,8,2
6,2014,11,2
7,2015,1,4
8,2015,2,2
9,2015,4,6
10,2015,5,6
11,2015,6,6
12,2015,7,26
13,2015,8,901
14,2015,9,3045
15,2015,10,5648
16,2015,11,5202
17,2015,12,4835
18,2016,1,5559
19,2016,2,5078
20,2016,3,5859
21,2016,4,5833
22,2016,5,6201
23,2016,6,5709
24,2016,7,6691
25,2016,8,8964
26,2016,9,9488
27,2016,10,10050
28,2016,11,9543
29,2016,12,10171
30,2017,1,8686
31,2017,2,8278
32,2017,3,10230
33,2017,4,10131
34,2017,5,11751
35,2017,6,12584
36,2017,7,13808
37,2017,8,15676
38,2017,9,18548
39,2017,10,20458
40,2017,11,19395
41,2017,12,20649
42,2018,1,19341
43,2018,2,17527
44,2018,3,18908
45,2018,4,19692
46,2018,5,21808
47,2018,6,21667
48,2018,7,21069
49,2018,8,20907
50,2018,9,20216
51,2018,10,21188
52,2018,11,19172
53,2018,12,20384
54,2019,1,18404
55,2019,2,17254
56,2019,3,19758
57,2019,4,19205
58,2019,5,21712
59,2019,6,21836
60,2019,7,21757
61,2019,8,20429
62,2019,9,20128
63,2019,10,20461
64,2019,11,19813
65,2019,12,19436
66,2020,1,17806
67,2020,2,18518
68,2020,3,13768
69,2020,4,9189
70,2020,5,13740
71,2020,6,15822
72,2020,7,18643
73,2020,8,18804
74,2020,9,17093
75,2020,10,17171
76,2020,11,14301
77,2020,12,14737
78,2021,1,14402
79,2021,2,16978
80,2021,3,15736
81,2021,4,16663
82,2021,5,19844
83,2021,6,21178
84,2021,7,20543
85,2021,8,20465
86,2021,9,20292
87,2021,10,21020
88,2021,11,17941
89,2021,12,17365
90,2022,1,16598
91,2022,2,16067
92,2022,3,17366
93,2022,4,17294
94,2022,5,20067
95,2022,6,19554
96,2022,7,18891
97,2022,8,18804
98,2022,9,19567
99,2022,10,20197
100,2022,11,17957
101,2022,12,18151
102,2023,1,16403
103,2023,2,16332
104,2023,3,18035
105,2023,4,17646
