,year,month,Trip ID
0,2018,11,293073
1,2018,12,392453
2,2019,1,8784983
3,2019,2,371618
4,2019,3,393349
5,2019,4,267900
6,2019,5,296025
7,2019,6,395586
8,2019,7,239265
9,2019,8,318897
10,2019,9,316637
11,2019,10,250487
12,2019,11,391756
13,2019,12,264802
14,2020,1,8804875
15,2020,2,364492
16,2020,3,289251
17,2020,4,50058
18,2020,5,67037
19,2020,6,52448
20,2020,7,104218
21,2020,8,145767
22,2020,9,99039
23,2020,10,124603
24,2020,11,121867
25,2020,12,89515
26,2021,1,3355589
27,2021,2,100400
28,2021,3,103244
29,2021,4,129026
30,2021,5,160291
31,2021,6,110983
32,2021,7,139155
33,2021,8,149004
34,2021,9,122303
35,2021,10,189643
36,2021,11,133706
37,2021,12,155503
38,2022,1,4704329
39,2022,2,137189
40,2022,3,148338
41,2022,4,223511
42,2022,5,180823
43,2022,6,165511
44,2022,7,213388
45,2022,8,155053
46,2022,9,184792
47,2022,10,280003
48,2022,11,171690
49,2022,12,218397
